Play title,Pause 1,Pause 2,Pause 3,Pause 4,Pause 5,Pause 6,Pause 7,Pause 8,Pause 9
PEELE_David_Bethsabe_(PEELE),1.6,9.7,4.7,35.8,24.5,16.8,4.7,2.2,0
PEELE_Arraingment_Paris_(PEELE),4.7,14.6,11,32.1,11.8,17.3,4.7,3.6,0.3
PEELE_Battle_Alcazar_(PEELE),2,13.2,8.8,40.1,13.7,18.7,2.6,0.9,0
PEELE_Edward_I_(PEELE),1.9,11.8,6.7,43.5,16.4,13.7,3.8,1.1,1.1
GREENE_Alphonsus_Arragon_(GREENE),0.9,4.5,2.3,66.1,19.2,3.6,2.8,0.3,0.3
GREENE_Friar_Bacon_(GREENE),2.2,13.7,9.2,38.5,22.9,7,4.8,1.6,0
GREENE_Orlando_Furioso_(GREENE),3.4,15.2,6.7,48.3,11.5,9.7,3.7,1.5,0
GREENE_James_IV_(GREENE),1.6,6.9,4.7,49.3,11,21.2,3.4,1.7,0.1
MARLOWE_Tamburlaine_1_(MARLOWE),4.6,10.4,7.1,34.2,21,14.1,4.6,3.4,0.7
MARLOWE_Doctor_Faustus_(MARLOWE),6.4,10.4,11.6,25.7,22.9,14.9,5.2,2.8,0
MARLOWE_Jew_Malta_(MARLOWE),11.1,9.7,7.8,28.3,17.7,13.1,8,3.1,1.1
MARLOWE_Edward_II_(MARLOWE),4.6,15.4,6.1,35.6,13.3,18.9,4.5,1.4,0.2
MARLOWE_Massacre_Paris_(MARLOWE),5.6,16.9,5.3,38.7,9.9,16.6,3.6,1.7,1.7
KYD_Spanish_Tragedy_(KYD),7.1,15,5.7,39.1,15.2,11.4,4.2,1.9,0.4
SHAKESPEARE_1_Henry_VI_(SHAKESPEARE),5.2,12.2,4.7,31.7,20.3,13.7,8.4,3.3,0.3
SHAKESPEARE_Comedy_Errors_(SHAKESPEARE),4.4,12.2,4.3,29.6,18.2,20.1,7.9,3.1,0.4
SHAKESPEARE_Loves_Labours_(SHAKESPEARE),4.8,8,3.6,33.9,19.1,19.8,6.4,3.4,0.9
SHAKESPEARE_Gentlemen_Verona_(SHAKESPEARE),8.2,12,6.7,27.8,14.7,19.5,6.6,3.6,1
SHAKESPEARE_Richard_II_(SHAKESPEARE),3.2,9.9,4.9,31.5,17.6,20.6,7.2,4.3,0.8
SHAKESPEARE_Romeo_Juliet_(SHAKESPEARE),2.5,9.1,3.7,34.3,19.9,19.6,6,3.6,1.1
SHAKESPEARE_Midsummer_Dream_(SHAKESPEARE),3.4,8.8,4.2,30.1,23.3,17.5,8.3,3.2,1.2
SHAKESPEARE_Richard_III_(SHAKESPEARE),5.5,12.4,4.9,28.7,17.4,18.3,7.5,4.4,0.8