Play title,Strict,Total
PEELE_David_Bethsabe_(PEELE),0.8,4.3
PEELE_Arraingment_Paris_(PEELE),0.5,2.6
PEELE_Battle_Alcazar_(PEELE),1.5,3.9
PEELE_Edward_I_(PEELE),1.8,3.3
GREENE_Alphonsus_Arragon_(GREENE),0.1,0.6
GREENE_Friar_Bacon_(GREENE),0.7,4
GREENE_Orlando_Furioso_(GREENE),0.8,2.4
GREENE_James_IV_(GREENE),1.1,2
MARLOWE_Tamburlaine_1_(MARLOWE),1.3,3.9
MARLOWE_Doctor_Faustus_(MARLOWE),1.7,4.8
MARLOWE_Jew_Malta_(MARLOWE),3,4.1
MARLOWE_Edward_II_(MARLOWE),3.7,5.5
MARLOWE_Massacre_Paris_(MARLOWE),1.4,1.9
KYD_Spanish_Tragedy_(KYD),1.2,2.3
SHAKESPEARE_1_Henry_VI_(SHAKESPEARE),6.3,8.6
SHAKESPEARE_Comedy_Errors_(SHAKESPEARE),15.3,16.7
SHAKESPEARE_Loves_Labours_(SHAKESPEARE),6,6.9
SHAKESPEARE_Gentlemen_Verona_(SHAKESPEARE),15.7,17.4
SHAKESPEARE_Richard_II_(SHAKESPEARE),8.2,12.1
SHAKESPEARE_Romeo_Juliet_(SHAKESPEARE),6.3,7.9
SHAKESPEARE_Midsummer_Dream_(SHAKESPEARE),5.6,8.4
SHAKESPEARE_Richard_III_(SHAKESPEARE),16.8,20.9